participant_id,transcript_id,question_ref,tag,severity,sentiment,quote,source_line_start,source_line_end
ES5,en_translated_from_es_participant_0005,Q4,Personal Recipe And Translation Uses,Medium,neutral,"I generally use it mostly to ask for recipes or look up a term I don't know, to search for a product that I might know is sold on Amazon in another country but not in Argentina.",16,16
ES5,en_translated_from_es_participant_0005,Q4,AI Knitting Pattern Limitations,High,mixed,"I asked for a pattern and I thought it was going to write a very detailed pattern with what you had to do row by row, etc., but it couldn't do that.",20,20
ES5,en_translated_from_es_participant_0005,Q4,AI Color Selection Success,Medium,positive,"it did work well when I asked it to help me choose colors, to see what color matched with what or what colors from the pattern in a photo I had seen on Pinterest",20,20
ES5,en_translated_from_es_participant_0005,Q4,AI Yarn Calculation Error,High,negative,"I asked it to help me calculate the amount of yarn I would need for a medium-sized sweater and it calculated too much yarn. Besides, it's hard to calculate that, but I ended up with twice the yarn I needed.",20,20
ES5,en_translated_from_es_participant_0005,Q4,Podcast Ideation And Script Planning,Medium,positive,"I used it to ask if there was any YouTuber in Argentina doing the same thing I do. We didn't find any, but it did give me ideas on how I could structure a video if I decide to make one, with a sort of script and ideas about what I can talk about.",24,24
ES5,en_translated_from_es_participant_0005,Q5,Product Search Failure Pattern,High,negative,"sometimes it doesn't help when I want to search for or find a product to buy in Argentina. Many times it gives me links that don't go anywhere or are not the product I'm looking for, they're not even related.",29,29
ES5,en_translated_from_es_participant_0005,Q5,Yarn Substitute Inaccuracy,High,negative,I asked ChatGPT if it could give me substitutes that I could get in Argentina. The reality is that the substitutes it gave me didn't match the yarn weight I needed to replace.,33,33
ES5,en_translated_from_es_participant_0005,Q5,AI Ignore User Constraints,High,negative,"I had clarified that please give me links to products I could buy and it kept sending me the same links, so I feel it didn't work because of that.",33,33
ES5,en_translated_from_es_participant_0005,Q8,Auto Prompt Improvement Need,High,negative,"It would be good if it helped me improve prompts without me having to ask. For example, in cases where I get frustrated because I ask for something and it doesn't give it back, it could help me understand how I should ask for it, so I also learn how to ask for things in the future.",47,47
ES5,en_translated_from_es_participant_0005,Q8,Preference Memory For Repetitive Tasks,High,negative,"be able to solve things already knowing, without me having to explain every time what I want for repetitive tasks. For example, when it's translating something, that it already remembers that I speak Spanish and that I usually need translations into English.",49,49
ES5,en_translated_from_es_participant_0005,Q8,Trip Planning Unrealistic Expectations,High,mixed,"it was a bit unrealistic regarding the time we had and the things to visit. For example, in one day it expected us to go to six places, but the reality is that, being there, between accumulating tiredness and there being many things to see, you might want to look at something and stay a while looking at it and not just see it and go to the next attraction.",51,51
ES5,en_translated_from_es_participant_0005,Q8,AI Travel Agent Limitation,Medium,negative,it also couldn't suggest nice places to eat or stop.,51,51
ES5,en_translated_from_es_participant_0005,Q8,Realistic Daily Scheduling Expectation,High,negative,"A clear example is suggesting ten different things in one day when a normal person in real life can visit just three or four places, taking into account that they also need to rest, eat, etc.",55,55
ES5,en_translated_from_es_participant_0005,Q8,Concrete Available Options Need,Medium,negative,"I would also have liked that, when we asked for ticket prices or hotel suggestions, it would send options with availability for those dates, because the suggestions it had weren't available for the dates we had already given.",55,55
ES5,en_translated_from_es_participant_0005,Q8,Context Persistence For Task Chats,High,negative,"I would simply like to be able to save, maybe, prompts or have a chat for this and for it not to forget what that chat is for. For example, a chat for translations, but that never forgets it always has to translate from Spanish to English.",59,59
ES5,en_translated_from_es_participant_0005,Q8,Routine Task Memory Preference,High,negative,"For example, needing translations or being able to look up information about an artist, or suggestions for series. I want those things to remember the initial request so I don't have to remind it halfway through again.",59,59
ES5,en_translated_from_es_participant_0005,Q9,Email Summarization Need,Medium,neutral,"Maybe regarding emails, it could be useful to summarize some if they're long or pre-filter things by grouping emails of the same type.",64,64
ES5,en_translated_from_es_participant_0005,Q9,Photo Location Memory Enhancement,Medium,positive,"if I was on a trip, it tells me where I was, so I don't forget which building I saw, since after a while you might forget.",64,64
ES5,en_translated_from_es_participant_0005,Q9,Event Preparation Alerts,Medium,positive,"In the calendar, maybe there are already alerts for upcoming events, but there could be ideas to help you prepare for an event. For example, if my event is a medical exam, that before going, a few hours before or a day before—this could be customizable—it notifies me and gives tips so I go prepared.",64,64
ES5,en_translated_from_es_participant_0005,Q9,Performance Preparation Scheduling,Low,positive,"I have a lot of rehearsals because I sing, and I'd like it to say: ""Remember to warm up,"" or to schedule 15 or 30 minutes in my calendar that day before the rehearsal event so I can warm up and prepare the things I need to bring, review a song if I need to.",64,64
ES5,en_translated_from_es_participant_0005,Q11,Less Nervous Without Human Presence,Medium,positive,I don't know if it makes me less nervous — what I mean is that I'm a little less worried because there's no one looking at me and I feel less judged.,78,78
ES5,en_translated_from_es_participant_0005,Q11,Language Comfort With AI Interview,Medium,positive,"I can say it in my language, which is Spanish, and perhaps, simply speaking with an interviewer who lives in the United States, whose first language is English, I would have to speak in English or in another language. Also, I can choose the language I'm most comfortable speaking in, and that's much better.",74,74
ES5,en_translated_from_es_participant_0005,Q11,Missing Warmth In AI Interview,Low,negative,"I miss a bit the warmth of talking to a person, being able to make a joke and have them laugh, being able to see the interviewer's face a little, which I don't see here",78,78
