participant_id,transcript_id,question_ref,tag,severity,sentiment,quote,source_line_start,source_line_end
DE7,en_translated_from_de_participant_0007,Q4,Practical AI Applications,High,neutral,"Write letters to authorities, create résumés, create a travel itinerary with attractions, provide health tips and create a plan for workout programs.",16,16
DE7,en_translated_from_de_participant_0007,Q4,Travel Plan Input Requirements,Medium,neutral,"I give the AI the trip duration, the number of people and the destination as input.",20,20
DE7,en_translated_from_de_participant_0007,Q4,Verification Need For AI Output,High,negative,"The plan is usually very detailed, but it should definitely be checked again to see whether the facilities and locations actually exist or are still available.",24,24
DE7,en_translated_from_de_participant_0007,Q8,Comprehensive Life Context Need,High,positive,"My personal AI assistant should know my entire life situation, my needs in daily life, my hobbies, my career path, my interests, my further education and training, as well as my interests in concerts, films and cultural matters.",43,43
DE7,en_translated_from_de_participant_0007,Q8,Holistic Life Domain Support,High,positive,"It should offer me interesting products, events or courses for further education and new topics. It should be able to help me in every situation in life, especially with health, hobbies, sports and nutrition.",43,43
DE7,en_translated_from_de_participant_0007,Q8,Life Situation Definition,Medium,neutral,"Life situation means to me: Do I live in a house, am I in a relationship or single? Am I athletic, am I healthy, do I have varied interests? What are my interests?",47,47
DE7,en_translated_from_de_participant_0007,Q9,System Integration For Daily Management,High,positive,"The AI could support me in everyday life with appointments and provide me with situation-appropriate information, whether about government agencies, business mail, promotions or renovations and new plans that affect the various areas of life.",52,52
DE7,en_translated_from_de_participant_0007,Q11,Human Dialogue Preference,High,negative,"I prefer the interview with a person, because it's a dialogue and not a monologue. A personal human address cannot be replaced by anything, not even an AI.",62,62
DE7,en_translated_from_de_participant_0007,Q11,Human Authenticity And Connection,High,negative,"A human is real, a human is authentic. A human can say what is really going on inside them, and a human dialogue is a real dialogue. I can look at the person, I can speak with them, I can perceive their tone of voice, their facial expression, their eyes.",66,66
DE7,en_translated_from_de_participant_0007,Q11,Trust Through Genuine Presence,Medium,negative,"And above all, if I know them, I know that this person is genuine and not computer-controlled.",66,66
